Name,Team,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,playerid
Jhonny Peralta,Cardinals,33,122,133,29,18,7,1,3,14,8,9,0,27,0,2,0,4,0,0,.238,1738
Byung-ho Park,Twins,27,93,107,22,11,5,0,6,15,10,11,0,34,2,1,0,2,1,0,.237,18497
Matt Wieters,Orioles,58,216,230,51,35,8,0,8,23,30,11,1,50,1,2,0,5,1,0,.236,4298
Joc Pederson,Dodgers,39,140,155,33,15,11,0,7,19,19,15,1,39,0,0,0,1,3,1,.236,11899
Ryan Raburn,Rockies,31,91,103,21,12,4,1,4,14,13,9,0,28,1,2,0,4,0,0,.231,2218
Chris Johnson,Marlins,33,96,105,22,16,4,0,2,8,14,8,1,29,1,0,0,5,0,0,.229,1191
Gerardo Parra,Rockies,32,114,120,26,15,8,0,3,13,15,4,0,26,0,2,0,8,2,0,.228,8553
Todd Frazier,White Sox,39,146,159,33,19,7,0,7,17,24,10,0,43,0,2,1,5,3,2,.226,785
Corey Dickerson,Rays,46,161,175,36,22,8,2,4,14,17,13,3,48,0,1,0,5,0,1,.224,10762
Alex Gordon,Royals,68,233,265,51,35,6,2,8,33,21,28,2,84,4,0,0,5,5,0,.219,5209
Mitch Moreland,Rangers,43,151,165,33,25,2,0,6,17,16,13,3,41,1,0,0,3,0,0,.219,3086
Yasmany Tomas,Diamondbacks,40,157,165,34,20,7,0,7,14,23,8,3,57,0,0,0,3,0,1,.217,17171
Jayson Werth,Nationals,27,99,109,21,11,5,0,5,14,17,7,0,28,1,2,0,3,0,0,.212,1327
Eduardo Escobar,Twins,43,163,180,34,25,3,2,4,14,21,13,1,37,1,1,2,4,1,0,.209,6153
Josh Harrison,Pirates,32,120,126,24,21,2,0,1,11,7,4,0,21,1,1,0,5,3,0,.200,8202
Paulo Orlando,Royals,26,97,102,19,16,3,0,0,5,3,1,1,24,2,0,2,4,0,0,.196,8628
Kirk Nieuwenhuis,Brewers,45,150,169,27,15,5,1,6,17,14,19,0,59,0,0,0,2,3,3,.180,6400
Derek Norris,Padres,39,145,160,26,14,7,0,5,19,19,10,2,52,3,2,0,4,5,0,.179,6867
Yan Gomes,Indians,28,106,113,18,9,6,0,3,9,13,5,0,28,0,2,0,1,0,0,.170,9627
